[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.206815553] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.209364388] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.243444814] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.246705014] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.272835314] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.277046915] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.308136054] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.312013411] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.339448607] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.344604318] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.377905132] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.380676213] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.403630897] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.408137660] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.441618720] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.446670308] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.475097448] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.481173936] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.510449521] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.514452875] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.522951617] [target_detection_node]: ============================================================
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.523995184] [target_detection_node]: Performance Stats (Recent 100 frames, Total frames: 0)
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.524455427] [target_detection_node]: ============================================================
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.525089500] [target_detection_node]: preprocess          : Avg=  4.35ms, Max= 14.40ms, Min=  2.70ms
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.525652408] [target_detection_node]: rectangle_detection : Avg=  3.45ms, Max= 10.09ms, Min=  2.64ms
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.526198400] [target_detection_node]: circle_detection    : Avg= 12.07ms, Max= 28.12ms, Min=  9.05ms
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.526667392] [target_detection_node]: rendering           : Avg=  1.08ms, Max=  1.71ms, Min=  0.96ms
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.527135510] [target_detection_node]: total               : Avg= 35.25ms, Max=329.99ms, Min= 21.75ms
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.527536545] [target_detection_node]: Current FPS: 30.0
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.527934373] [target_detection_node]: ============================================================
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.545521598] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.557022710] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.583164677] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.585910967] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.623459548] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.628525135] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.647425424] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.652416054] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.677226875] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.680642822] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.702895182] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.706134965] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.735036056] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.738102008] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.773836741] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.776315578] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.821540997] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.824455868] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
